it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	
0	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.10383936562450517	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	0.20844845252722133	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616	-0.10460908690271616
1000	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1881685003020378	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.1453986083557505	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303	0.042769891946287303
2000	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.13904769161753749	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.27307037206024237	0.44308906676054494	0.44308906676054494	0.44308906676054494	0.44308906676054494	0.44308906676054494	0.44308906676054494	0.44308906676054494	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.10773848904093508	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	0.18190855323194569	-0.30404137514300744	-0.30404137514300744	-0.30404137514300744	-0.30404137514300744	-0.30404137514300744	-0.30404137514300744	-0.30404137514300744	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.031309202576602413	0.16533188301930729	0.16533188301930729	0.16533188301930729	0.16533188301930729	0.16533188301930729	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687	0.091161818828296687
3000	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.16564813491933539	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.42110265586638351	0.79927791517928903	0.79927791517928903	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.14902536919620801	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.10563991727142891	0.15877442145822721	0.15877442145822721	0.15877442145822721	0.15877442145822721	0.15877442145822721	0.15877442145822721	0.15877442145822721	-0.63362978025995365	-0.63362978025995365	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.016622765723127375	0.060008217647906481	0.060008217647906481	0.060008217647906481	0.060008217647906481	0.060008217647906481	0.060008217647906481	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.31546273859495461	0.26232823440815634	0.26232823440815634	0.26232823440815634	0.26232823440815634	0.26232823440815634	0.26232823440815634	0.26232823440815634
4000	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.15794619844093061	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	0.34910061533925674	1.0995830674077447	1.0995830674077447	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.12296131504100256	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10189169002893418	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	0.10876531018649226	-0.94163686896681409	-0.94163686896681409	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.034984883399928043	0.056054508411996426	0.056054508411996426	0.056054508411996426	0.056054508411996426	0.056054508411996426	0.056054508411996426	0.056054508411996426	0.056054508411996426	0.24720892531032257	0.24720892531032257	0.24720892531032257	0.24720892531032257	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447	0.24033530515276447
5000	0.3377996400681435	0.3377996400681435	0.3377996400681435	0.3377996400681435	0.3377996400681435	0.3377996400681435	0.073018627172200798	0.073018627172200798	0.073018627172200798	0.073018627172200798	0.073018627172200798	0.073018627172200798	0.073018627172200798	0.073018627172200798	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.14874135001141189	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.30451369949806117	0.29836260795928088	0.29836260795928088	0.29836260795928088	0.29836260795928088	0.29836260795928088	0.29836260795928088	0.29836260795928088	0.29836260795928088	0.99060914984429926	0.99060914984429926	0.20840878801580284	0.20840878801580284	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.1185259372189882	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.08510772930447498	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	0.090890327265742088	-0.65280950977615571	-0.65280950977615571	0.12939085205234066	0.12939085205234066	0.21927370284915532	0.21927370284915532	-0.045507310046787403	-0.045507310046787403	-0.045507310046787403	-0.045507310046787403	-0.045507310046787403	-0.045507310046787403	-0.045507310046787403	-0.045507310046787403	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.030215412792423693	0.063633620706936914	0.063633620706936914	0.063633620706936914	0.063633620706936914	0.063633620706936914	0.063633620706936914	0.063633620706936914	0.21940597019358621	0.21940597019358621	0.21940597019358621	0.21362337223231909	0.21362337223231909	0.21362337223231909	0.21362337223231909	0.21362337223231909	0.21362337223231909	0.21362337223231909	0.20747228069353879	0.20747228069353879	0.20747228069353879	0.20747228069353879	0.20747228069353879	0.20747228069353879	0.20747228069353879	0.20747228069353879
6000	0.24299091051696731	0.24299091051696731	0.24299091051696731	0.24299091051696731	0.24299091051696731	0.24299091051696731	0.063694678121449536	0.063694678121449536	0.063694678121449536	0.063694678121449536	0.063694678121449536	0.063694678121449536	0.063694678121449536	0.063694678121449536	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.12891973812534308	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.4430764678875958	0.27525856725260062	0.27525856725260062	0.27525856725260062	0.27525856725260062	0.27525856725260062	0.27525856725260062	0.27525856725260062	0.27525856725260062	0.92910727837574403	0.92910727837574403	0.23107451569964563	0.23107451569964563	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.11069338047416605	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.082287541869455513	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	0.08404839760076413	-0.68611636785877672	-0.68611636785877672	0.011916394817321679	0.011916394817321679	0.13229753004280126	0.13229753004280126	-0.046998702352716512	-0.046998702352716512	-0.046998702352716512	-0.046998702352716512	-0.046998702352716512	-0.046998702352716512	-0.046998702352716512	-0.046998702352716512	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.018226357651177028	0.046632196255887562	0.046632196255887562	0.046632196255887562	0.046632196255887562	0.046632196255887562	0.046632196255887562	0.046632196255887562	0.36078892601814028	0.36078892601814028	0.36078892601814028	0.3590280702868317	0.3590280702868317	0.3590280702868317	0.3590280702868317	0.3590280702868317	0.3590280702868317	0.3590280702868317	0.19121016965183649	0.19121016965183649	0.19121016965183649	0.19121016965183649	0.19121016965183649	0.19121016965183649	0.19121016965183649	0.19121016965183649
7000	0.31007193389275906	0.31007193389275906	0.31007193389275906	0.31007193389275906	0.31007193389275906	0.31007193389275906	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.060653853349892387	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.13890502382974776	0.46791970448265052	0.46791970448265052	0.46791970448265052	0.46791970448265052	0.46791970448265052	0.46791970448265052	0.46791970448265052	0.46791970448265052	0.27221224296282165	0.27221224296282165	0.27221224296282165	0.27221224296282165	0.27221224296282165	0.27221224296282165	0.27221224296282165	0.27221224296282165	0.27221224296282165	0.9091814409265766	0.9091814409265766	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12727674035873496	0.12925932646977206	0.12925932646977206	0.12925932646977206	0.12925932646977206	0.12925932646977206	0.12925932646977206	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.065214087108444799	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	0.048650198808609206	-0.59910950703381749	-0.59910950703381749	0.1827951935340241	0.1827951935340241	0.1827951935340241	0.1827951935340241	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	-0.066622887008842571	0.011628283471012801	0.011628283471012801	0.0096456973599756968	0.0096456973599756968	0.0096456973599756968	0.0096456973599756968	0.0096456973599756968	0.0096456973599756968	0.07369093672130296	0.07369093672130296	0.07369093672130296	0.07369093672130296	0.07369093672130296	0.07369093672130296	0.07369093672130296	0.07369093672130296	0.40270561737420574	0.40270561737420574	0.40270561737420574	0.41926950567404131	0.41926950567404131	0.41926950567404131	0.41926950567404131	0.41926950567404131	0.22356204415421244	0.22356204415421244	0.22356204415421244	0.22356204415421244	0.22356204415421244	0.22356204415421244	0.22356204415421244	0.22356204415421244	0.22356204415421244
